,project,site_id,revisitid,individual,revisit,revisit_date,num_individuals,year,utme,utmn,site_number,season,utm_zone,site_type
1,ht,200901,101,NA,1,05/21/2009,0,2009,569041,5838774,01,spring,9,baited
2,ht,200901,102,NA,2,06/01/2009,0,2009,569041,5838774,01,spring,9,baited
3,ht,200902,201,NA,1,05/21/2009,0,2009,571204,5838765,02,spring,9,baited
4,ht,200902,202,NA,2,06/01/2009,0,2009,571204,5838765,02,spring,9,baited
5,ht,200903,301,NA,1,05/20/2009,0,2009,575994,5835412,03,spring,9,baited
6,ht,200903,302,NA,2,06/01/2009,0,2009,575994,5835412,03,spring,9,baited
7,ht,200905,501,125585,1,05/21/2009,1,2009,565806,5831006,05,spring,9,baited
8,ht,200905,502,NA,2,05/31/2009,0,2009,565806,5831006,05,spring,9,baited
9,ht,200906,601,NA,1,05/21/2009,0,2009,572784,5831093,06,spring,9,baited
10,ht,200906,602,NA,2,06/01/2009,0,2009,572784,5831093,06,spring,9,baited
11,ht,200907,701,NA,1,05/20/2009,0,2009,575665,5831737,07,spring,9,baited
12,ht,200907,702,NA,2,06/01/2009,0,2009,575665,5831737,07,spring,9,baited
13,ht,200908,801,NA,1,05/19/2009,0,2009,584337,5829578,08,spring,9,baited
14,ht,200908,802,NA,2,05/31/2009,0,2009,584337,5829578,08,spring,9,baited
15,ht,200909,901,NA,1,05/19/2009,0,2009,587204,5830951,09,spring,9,baited
16,ht,200910,1001,NA,1,05/21/2009,0,2009,564505,5829071,10,spring,9,baited
17,ht,200910,1002,NA,2,05/31/2009,0,2009,564505,5829071,10,spring,9,baited
18,ht,2009100,10001,NA,1,05/17/2009,0,2009,555246,5762854,100,spring,9,baited
19,ht,2009100,10002,NA,2,05/28/2009,0,2009,555246,5762854,100,spring,9,baited
20,ht,200911,1101,NA,1,05/21/2009,0,2009,566765,5826757,11,spring,9,baited
21,ht,200911,1102,NA,2,06/01/2009,0,2009,566765,5826757,11,spring,9,baited
22,ht,200912,1201,NA,1,05/21/2009,0,2009,571191,5829261,12,spring,9,baited
23,ht,200912,1202,NA,2,06/01/2009,0,2009,571191,5829261,12,spring,9,baited
24,ht,200913,1301,NA,1,05/21/2009,0,2009,579167,5827610,13,spring,9,baited
25,ht,200913,1302,NA,2,06/01/2009,0,2009,579167,5827610,13,spring,9,baited
26,ht,200914,1401,NA,1,05/19/2009,0,2009,580411,5826767,14,spring,9,baited
27,ht,200914,1402,NA,2,06/01/2009,0,2009,580411,5826767,14,spring,9,baited
28,ht,200915,1501,NA,1,05/19/2009,0,2009,585990,5827911,15,spring,9,baited
29,ht,200915,1502,NA,2,05/31/2009,0,2009,585990,5827911,15,spring,9,baited
30,ht,200917,1701,NA,1,05/21/2009,0,2009,561269,5822534,17,spring,9,baited
31,ht,200917,1702,NA,2,05/31/2009,0,2009,561269,5822534,17,spring,9,baited
32,ht,200918,1801,NA,1,05/21/2009,0,2009,565458,5820925,18,spring,9,baited
