 ,individual,year,Salmon.med
7,125585,2009,0.882
41,119204,2009,0.741
58,139903,2009,0.885
125,119495,2009,0.892
205,134616,2010,0.865
206,119204,2010,0.923
207,139903,2010,0.927
212,197098,2010,0.879
229,119418,2010,0.786
230,119421,2010,0.801
231,119445,2010,0.826
299,139917,2010,0.827
302,197212,2010,0.778
303,197223,2010,0.73
308,196636,2010,0.725
313,149554,2010,0.865
316,197037,2010,0.63
319,197080,2010,0.887
321,197067,2010,0.686
322,119347,2010,0.766
324,197310,2010,0.843
326,197159,2010,0.85
328,197035,2010,0.885
331,197171,2010,0.811
332,197175,2010,0.833
338,197199,2010,0.704
339,196675,2010,0.883
340,197195,2010,0.885
363,149691,2011,0.949
364,139903,2011,0.907
365,197159,2011,0.874
371,119204,2011,0.845
387,149724,2011,0.737
390,197098,2011,0.824
402,12102,2011,0.643
453,12469,2011,0.593
454,12472,2011,0.645
455,12480,2011,0.948
461,12536,2011,0.74
462,139917,2011,0.866
464,11531,2011,0.864
465,11059,2011,0.582
466,149554,2011,0.798
471,196636,2011,0.451
479,119347,2011,0.416
480,197067,2011,0.959
485,11065,2011,0.389
486,197310,2011,0.751
487,196675,2011,0.56
488,197199,2011,0.754
515,139903,2012,0.85
522,197098,2012,0.835
526,119445,2012,0.899
536,11059,2012,0.864
537,119418,2012,0.95
572,11913,2012,0.897
589,197159,2012,0.845
609,11243,2012,0.864
610,139917,2012,0.757
611,149554,2012,0.867
612,12237,2012,0.753
614,197080,2012,0.755
624,11531,2012,0.885
627,11981,2012,0.605
629,12661,2012,0.628
631,197067,2012,0.946
632,197310,2012,0.765
678,197098,2013,0.799
747,11053,2013,0.906
748,11059,2013,0.874
768,11913,2013,0.697
774,119204,2013,0.813
836,139917,2013,0.766
853,14018,2013,0.802
854,197067,2013,0.94
855,197159,2013,0.791
857,11981,2013,0.664
858,14483,2013,0.723
859,197037,2013,0.802
869,11243,2013,0.6
873,20382,2013,0.578
874,20398,2013,0.59
928,197098,2014,0.921
929,27835,2014,0.929
930,27836,2014,0.918
958,119445,2014,0.889
959,26363,2014,0.923
960,26901,2014,0.843
987,11913,2014,0.736
1061,197159,2014,0.79
1067,11531,2014,0.903
1068,12102,2014,0.681
1069,12393,2014,0.675
1076,139917,2014,0.848
1077,26309,2014,0.473
1079,27607,2014,0.747
1081,27479,2014,0.81
